"variable","NO","YES","MeanDecreaseAccuracy","MeanDecreaseGini"
"num_lab_procedures",10.9717263824602,0.034137955839789,11.2290686011779,31.8562643146455
"num_medications",6.01520264215318,-3.22994219172962,4.68758478935132,26.1365480514918
"time_in_hospital",3.14910506527565,1.88295602356376,3.73900779292912,19.4310911525787
"age",0.234215114077897,0.293050142960773,0.292913980247308,14.9869586087043
"discharge_disposition_id",4.7975322217137,2.54262666655735,5.36018215952771,10.0587807016063
"number_diagnoses",2.84322592984418,2.12372914947888,3.3439520945898,9.2237731906039
"admission_type_id",7.59837936634625,-1.27768973856698,7.63208841217808,5.17184983989252
"gender",0.680125172145536,-0.775911410223387,0.382188209324341,5.04789923818972
"admission_source_id",3.67419795713272,0.637440646785039,3.95793737556826,4.81596548955845
"race",-2.45188034460439,0.457814505536536,-2.18865654064189,4.10612347284207
